study_id,yi,sei
1,0.2745071229516849,0.0895514915847399
2,0.17926035482432232,0.11821833611219093
3,0.2971532807151039,0.10615285242347505
4,0.42845447846120377,0.08785978822574544
5,0.16487699379149962,0.12954087631390934
6,0.16487945645762292,0.06813420188476545
7,0.43688192232610873,0.08797880430957836
8,0.31511520937293636,0.09762703962817992
9,0.1295788421097572,0.10928909794821468
10,0.2813840065378947,0.1520728749810918
11,0.13048734607813067,0.07595759168058677
12,0.13014053696446148,0.11685047699376952
